Country Name,科研人数（每百万）,总人口/百万,科研人数,count,人均文献数量,longitude,latitude
North Macedonia,633.7321204,1.873834508,1187.509116,22,0.018526174,21.745275,41.608635
Mali,35.89459451,11.02752479,395.8285309,24,0.060632315,-3.996166,17.570692
Malta,1548.534064,0.37093119,574.3995837,23,0.040041812,14.375416,35.937496
Myanmar,20.25009108,39.13343546,792.4556322,13,0.016404704,95.956223,21.913965
Montenegro,709.6108932,0.583800476,414.2711774,14,0.033794289,19.37439,42.708678
Mongolia,506.2309113,2.104633762,1065.430667,16,0.015017401,103.846656,46.862496
Mozambique,26.68724403,15.94244637,425.4599566,21,0.049358347,35.529562,-18.665695
Mauritius,458.1535858,1.050823444,481.4385291,26,0.054004818,57.552152,-20.348404
Malawi,40.48142052,9.970971714,403.6390989,36,0.089188585,34.301525,-13.254308
Malaysia,1107.361434,19.41624081,21500.79626,1148,0.053393371,101.975766,4.210484
Namibia,152.8303833,1.483885032,226.7827182,16,0.070552113,18.49041,-22.95764
Niger,11.31017001,10.56011425,119.4366876,14,0.117216915,8.081666,17.607789
Nigeria,30.81530952,111.6729692,3441.237111,499,0.145005992,8.675277,9.081999
Nicaragua,70.03009796,4.206737587,294.5982453,4,0.013577813,-85.207229,12.865416
Netherlands,3797.990084,14.94251368,56751.5188,1852,0.032633488,5.291266,52.132633
Norway,5480.996715,4.380041968,24006.99564,1486,0.061898624,8.468946,60.472024
Nepal,59.6387291,20.10832854,1199.235158,213,0.177613205,84.124008,28.394857
New Zealand,3835.292781,3.60215873,13815.33337,854,0.061815374,174.885971,-40.900557
Oman,250.8637459,1.986888492,498.4382899,94,0.188589043,55.923255,21.512583
Pakistan,209.9940445,128.8721026,27062.37404,1075,0.039723049,69.345116,30.375321
Panama,107.4638058,2.602891048,279.7165782,50,0.178752365,-80.782127,8.537981
Philippines,101.6759618,67.25347537,6838.061793,307,0.044895763,121.774017,12.879721
Papua New Guinea,33.39191818,4.939041397,164.9240662,2,0.012126793,143.95555,-6.314993
Poland,1941.005714,36.16448649,70195.47492,1430,0.020371684,19.145136,51.919438
Portugal,3110.190186,9.834865159,30588.30109,1665,0.054432575,-8.224454,39.399872
Paraguay,125.2741227,4.174057762,522.9014243,2,0.003824813,-58.443832,-23.442503
Qatar,715.80867,0.799175651,572.0568597,168,0.293677101,51.183884,25.354826
Romania,971.7623502,21.05545333,20460.89682,905,0.04423071,24.96676,45.943161
Russian Federation,3164.298434,140.1187151,443377.4308,661,0.001490829,105.318756,61.52401
Rwanda,22.14801998,7.319185254,162.1054613,32,0.197402356,29.873888,-1.940278
Saudi Arabia,563.8900909,13.7068486,7729.156105,654,0.084614671,45.079162,23.885942
Senegal,380.7908997,8.724163556,3322.082089,59,0.017759946,-14.452362,14.497401
Singapore,5493.49666,3.460970381,19012.82923,516,0.027139569,103.819836,1.352083
El Salvador,66.86942782,5.056951143,338.1554294,5,0.0147861,-88.89653,13.794185
Serbia,1802.324308,7.340662238,13230.25399,250,0.018896085,21.005859,44.016521
Slovak Republic,2394.96836,5.075572905,12155.83652,217,0.017851507,19.699024,48.669026
Slovenia,3385.730323,1.917448746,6491.964363,150,0.023105487,14.995463,46.151241
Sweden,6089.134788,8.725515921,53130.84253,2163,0.040710817,18.643501,60.128161
Eswatini,139.104187,0.815812857,113.4829842,1,0.008811894,31.47384796,-26.53068276
