research country,count,longitude,latitude
Saint Vincent and the Grenadines,9,-61.287228,12.984305
Samoa,32,-172.104629,-13.759029
San Marino,1,12.457777,43.94236
Sao Tome and Principe,11,6.596217514,0.259884556
Saudi Arabia,359,45.079162,23.885942
Senegal,185,-14.452362,14.497401
Serbia,197,21.005859,44.016521
Seychelles,36,55.491977,-4.679574
Sierra Leone,39,-11.779889,8.460555
Singapore,172,103.819836,1.352083
Slovakia,181,19.699024,48.669026
Slovenia,163,14.995463,46.151241
Solomon Islands,59,160.156194,-9.64571
Somalia,61,46.199616,5.152149
South Africa,1587,22.937506,-30.559482
South Georgia and the South Sandwich Islands,1,-36.587909,-54.429579
South Korea,596,127.766922,35.907757
South Sudan,18,30.41374381,7.066917502
Spain,2206,-3.74922,40.463667
Sri Lanka,275,80.771797,7.873054
Sudan,112,30.217636,12.862807
Suriname,32,-56.027783,3.919305
Swaziland,2,31.465866,-26.522503
Swede,265,18.643501,60.128161
Sweden,735,18.643501,60.128161
Switzerland,616,8.227512,46.818188
Syria,18,38.996815,34.802075
S?o Tom¨¦ e Pr¨ªncipe,2,6.613081,0.18636
Tajikistan,89,71.276093,38.861034
Tanzania,298,34.888822,-6.369028
Thailand,673,100.992541,15.870032
Timor-Leste,24,125.727539,-8.874217
Togo,57,0.824782,8.619543
Tokelau,1,-171.855881,-8.967363
Tonga,18,-175.198242,-21.178986
Trinidad and Tobago,38,-61.222503,10.691803
Tunisia,271,9.537499,33.886917
Turkey,575,35.243322,38.963745
Turkmenistan,76,59.556278,38.969719
Turks and Caicos Islands,2,-71.797928,21.694025
Tuvalu,32,177.64933,-7.109535
Uganda,309,32.290275,1.373333
Ukraine,257,31.16558,48.379433
United Arab Emirates,163,53.847818,23.424076
United Kingdom,2761,-3.435973,55.378051
United States,12109,-95.712891,37.09024
Uruguay,76,-55.765835,-32.522779
Uzbekistan,131,64.585262,41.377491
Vanuatu,67,166.959158,-15.376706
Vatican City,1,12.453389,41.902916
Venezuela,32,-66.58973,6.42375
Vietnam,524,108.277199,14.058324
Western Sahara,2,-12.885834,24.215527
Yemen,40,48.516388,15.552727
Zambia,185,27.849332,-13.133897
Zimbabwe,246,29.154857,-19.015438
